"GID","URN","UID","Companies House Number","Role","Title","Forename 1","Forename 2","Surname","Date of appointment","Date term of office ends/ended","Appointing body"
"1598186","","4192","08509710","Trustee","Dr","Janet","","Northing","12/12/2021","09/10/2022","Appointed by academy members"
"1624562","","4192","08509710","Trustee","Mr","Simon","","Rose","03/10/2022","02/10/2026","Appointed by academy members"
"1624564","","4192","08509710","Trustee","Mr","Ryan","","Harding","03/10/2022","02/10/2026","Appointed by academy members"
"1005817","","4197","08324412","Member","Mr","Denzil","","Shepheard","12/12/2012","","N/A"
"1005818","","4197","08324412","Member","Mrs","Lisa","","Tomlinson","12/12/2012","","N/A"
"1005819","","4197","08324412","Member","Mr","Trevor","","Hancock","22/12/2012","","N/A"
"1005820","","4197","08324412","Chief Financial Officer","Mr","David","","Tebbutt","01/01/2013","","N/A"
"1005821","","4197","08324412","Trustee","Mr","Andrew","","Marriott","06/02/2014","","N/A"
"1005822","","4197","08324412","Trustee","Miss","Natasha","","Frayne","10/02/2014","","N/A"
"1005823","","4197","08324412","Trustee","Mr","David","","Horry","10/02/2014","","N/A"
"1005824","","4197","08324412","Trustee","Dr","Jo","","Barkham","08/07/2014","","N/A"
"1005825","","4197","08324412","Trustee","Mr","Peter","","Redman","16/04/2015","","N/A"
"1005826","","4197","08324412","Chair of Trustees","Mr","Daniel","","Elkington","22/09/2015","","N/A"
"1005827","","4197","08324412","Trustee","Mr","Simon","","Lingard","22/09/2015","","N/A"
"1005828","","4197","08324412","Trustee","Mr","James","","Waller-Davies","22/09/2015","","N/A"
"1005829","","4197","08324412","Accounting Officer","Miss","Jo","","Bland","05/05/2016","","N/A"
"1005830","","4208","08255683","Member","Mr","Andy","","Arnold","01/12/2012","","Original (signatory) members"
"1005834","","4208","08255683","Member","Mrs","Marilyn","","Gittner","01/12/2012","","Original (signatory) members"
"1005837","","4208","08255683","Trustee","Mr","Philip","","Bagley","30/11/2021","29/11/2025","Appointed by GB/board"
"1005839","","4208","08255683","Trustee","Mrs","Karen","","Hartshorne","08/12/2015","26/11/2023","Appointed by GB/board"
"1005841","","4208","08255683","Member","Mr","Michael","","Corney","15/06/2016","","Appointed by academy members"
"1005843","","4208","08255683","Member","Mr","David","","Donnelly","15/06/2016","","Appointed by academy members"
"1346935","","4208","08255683","Trustee","Mr","Peter","","Steadman","27/11/2018","31/08/2022","Appointed by GB/board"
"1409540","","4208","08255683","Accounting Officer","Mr","Harry","","Wood","27/11/2019","","N/A"
"1433130","","4208","08255683","Trustee","Ms","Helen","","Harrison","03/03/2020","02/03/2024","Appointed by GB/board"
"1489419","","4208","08255683","Chief Financial Officer","Mrs","Angela","","Dobrucki","02/12/2020","","N/A"
"1510848","","4208","08255683","Chair of Trustees","Mr","Pete","","Steadman","30/11/2021","31/08/2022","Appointed by GB/board"
"1579986","","4208","08255683","Trustee","Mr","Dave","","Thomas","10/02/2022","09/02/2026","Appointed by academy members"
"1620886","","4208","08255683","Trustee","Mrs","Melanie","","Barber","04/10/2022","03/10/2026","Appointed by GB/board"
"1620888","","4208","08255683","Trustee","Mr","James","","Kilner","04/10/2022","03/10/2026","Appointed by GB/board"
"1621331","","4208","08255683","Chair of Trustees","Mr","James","","Kilner","04/10/2022","03/10/2023","Appointed by GB/board"
"1005844","","4209","07691324","Chief Financial Officer","Mrs","Anne","","Slade","01/09/2014","31/08/2022","N/A"
"1005845","","4209","07691324","Member","","Nicholas","","Beal","04/07/2011","30/01/2022","Original (signatory) members"
"1005853","","4209","07691324","Trustee","","Lee","","Mason-Ellis","04/07/2011","","Ex-officio by virtue of office as headteacher/principal"
"1005854","","4209","07691324","Accounting Officer","Mr","Lee","","Mason-Ellis","04/07/2011","","N/A"
"1042783","","4209","07691324","Trustee","Mrs","Wendy","","Andrews","21/06/2016","20/06/2024","Appointed by GB/board"
"1042786","","4209","07691324","Trustee","Mrs","Anne","","Wright","21/06/2016","20/06/2024","Appointed by academy members"
"1042788","","4209","07691324","Trustee","Mr","John","","Brown","01/09/2016","29/09/2022","Appointed by academy members"
"1311541","","4209","07691324","Member","Mr","Andrew","","McCormick","17/09/2018","","Appointed by academy members"
"1311542","","4209","07691324","Member","Mr","Peter","","Birdsall","17/09/2018","12/01/2022","Appointed by academy members"
"1374524","","4209","07691324","Member","Mr","Richard","","Kellaway","31/01/2019","","Appointed by academy members"
"1374526","","4209","07691324","Trustee","Mrs","Joanne","","Bouwens","14/05/2019","14/05/2023","Appointed by academy members"
"1374527","","4209","07691324","Trustee","Mrs","Kathy","","Cong","14/05/2019","14/05/2023","Appointed by academy members"
"1443428","","4209","07691324","Shared Local Governor - Group","","Rebecca","","Hipkins","","","Appointed by GB/board"
"1443440","","4209","07691324","Shared Local Governor - Group","","Laura","","Williams","","","Ex-officio by virtue of office as headteacher/principal"
"1458638","","4209","07691324","Chair of Trustees","Mr","Richard","","Lockyer","01/09/2020","31/01/2024","Appointed by academy members"
"1458639","","4209","07691324","Trustee","Mr","Doug","","Robinson","01/07/2015","31/08/2022","Appointed by academy members"
"1458640","","4209","07691324","Trustee","Mr","Paul","","Bridgman","01/09/2020","30/11/2021","Appointed by academy members"
"1458643","","4209","07691324","Member","Mr","Richard","","Lockyer","01/09/2020","","Appointed by GB/board"
"1458644","","4209","07691324","Member","Mrs","Jo","","Tanner","01/09/2020","","Appointed by academy members"
"1470089","","4209","07691324","Shared Chair of Local Governing Body - Group","Ms","Karen","","Clayton","","","Appointed by foundation/Trust"
"1470097","","4209","07691324","Shared Local Governor - Group","","Stephen","","Hughes","","","Appointed by GB/board"
"1470098","","4209","07691324","Shared Local Governor - Group","","Olagoke","","Lawal","","","Elected by parents"
"1470099","","4209","07691324","Shared Local Governor - Group","","Nav","","Matharu","","","Elected by parents"
"1470134","","4209","07691324","Shared Local Governor - Group","","David","","Coombs","","","Elected by parents"
"1470139","","4209","07691324","Shared Local Governor - Group","","Natalie","","Muller","","","Appointed by GB/board"
"1470140","","4209","07691324","Shared Local Governor - Group","","Louanne","","Schoonees","","","Appointed by GB/board"
"1565116","","4209","07691324","Shared Chair of Local Governing Body - Group","","James","","Collins","","","Appointed by foundation/Trust"
"1565123","","4209","07691324","Shared Local Governor - Group","","Kuda","","Mika","","","Appointed by GB/board"
"1565132","","4209","07691324","Shared Local Governor - Group","","Sarah","","Bacon","","","Appointed by GB/board"
"1565133","","4209","07691324","Shared Local Governor - Group","","Ian","","McManus","","","Ex-officio by virtue of office as headteacher/principal"
"1565134","","4209","07691324","Shared Local Governor - Group","","Deniece","","Graham","","","Ex-officio by virtue of office as headteacher/principal"
"1565150","","4209","07691324","Trustee","Sir","Robin","","Bosher","11/11/2021","10/11/2025","Appointed by academy members"
"1576861","","4209","07691324","Trustee","Mr","Andy","","Church","11/01/2022","10/01/2026","Appointed by academy members"
"1576862","","4209","07691324","Member","Mr","Doug","","Robinson","31/01/2022","","Appointed by academy members"
"1597859","","4209","07691324","Shared Local Governor - Group","","Sonam","","Sadha","","","Elected by school staff"
"1597862","","4209","07691324","Shared Local Governor - Group","","Laura","","Box","","","Elected by school staff"
"1607790","","4209","07691324","Chief Financial Officer","Mrs","Sam","","Golding","01/09/2022","","N/A"
"1607797","","4209","07691324","Trustee","","Emmanuella","Temitope","Aiyere","31/03/2022","30/03/2026","Appointed by academy members"
"1607800","","4209","07691324","Trustee","","Rachid","","Bengougam","01/09/2022","31/08/2026","Appointed by GB/board"
"1607801","","4209","07691324","Trustee","","Betty","","Huynh","01/09/2022","31/08/2026","Appointed by GB/board"
"1622505","","4209","07691324","Shared Local Governor - Group","","Louise","","Lynch","","","Ex-officio by virtue of office as headteacher/principal"
"1622507","","4209","07691324","Shared Local Governor - Group","","Anuli","","Ola-Olaniyi","","","Elected by parents"
"1109597","","4210","07655702","Member","Mr","Paul","","Leonard","01/11/2014","","Original (signatory) members"
"1419629","","4210","07655702","Member","Mrs","Mary","","Mellor","17/12/2019","","Appointed by academy members"
"1419631","","4210","07655702","Member","Mrs","Martine","","Laffan-Butler","17/12/2019","","Appointed by academy members"
"1419632","","4210","07655702","Member","Mr","Roger","","Barley","17/12/2019","","Appointed by academy members"
"1429510","","4210","07655702","Trustee","Mrs","Carole","","Gallant","04/02/2020","30/06/2022","Appointed by academy members"
"1432758","","4210","07655702","Trustee","Mrs","Fiona","","Belk","05/03/2020","05/03/2024","Appointed by GB/board"
"1432761","","4210","07655702","Trustee","Mrs","Sandra","","Craske","05/03/2020","05/03/2024","Appointed by GB/board"
"1492490","","4210","07655702","Accounting Officer","Mrs","Claire","","Pritchard","02/11/2020","","N/A"
"1496539","","4210","07655702","Trustee","Mr","Neil","","Turner","13/01/2021","13/01/2025","Appointed by GB/board"
"1525047","","4210","07655702","Trustee","Mrs","Natalie","","Watkiss","26/05/2021","26/05/2025","Appointed by GB/board"
"1525049","","4210","07655702","Trustee","Mrs","Charlene","","Whittingham","26/05/2021","26/05/2025","Appointed by GB/board"
"1530302","","4210","07655702","Chief Financial Officer","Mrs","Jill","","Arnold","07/06/2021","","N/A"
"1551570","","4210","07655702","Trustee","Mrs","Dawn","","Vos","13/10/2021","13/10/2025","Appointed by GB/board"
"1551608","","4210","07655702","Chair of Trustees","Mr","Neil","","Turner","13/10/2021","13/01/2025","Appointed by GB/board"
"1551612","","4210","07655702","Trustee","Mrs","Manuela","","Alpaton","25/11/2019","25/11/2024","Appointed by academy members"
"1567072","","4210","07655702","Trustee","Mr","Phil","","Milligan","08/12/2021","08/12/2025","Appointed by GB/board"
"1606848","","4210","07655702","Member","Mrs","Carole","","Gallant","02/08/2022","","Appointed by academy members"
"1092498","","4214","08438686","Trustee","Mr","Daniel","","Rogerson","17/10/2016","09/06/2022","Appointed by foundation/Trust"
"1151712","","4214","08438686","Member","The Right Reverend","Mark","","O'Toole","11/12/2013","20/06/2022","Original (signatory) members"
"1182398","","4214","08438686","Trustee","Mr","Andrew","","Nicholls","15/03/2017","15/03/2025","Appointed by GB/board"
"1217032","","4214","08438686","Trustee","Mr","Graham","","Briscoe","26/02/2021","25/02/2022","Appointed by GB/board"
"1364012","","4214","08438686","Trustee","Mrs","Ann","","Harris","14/09/2018","13/09/2022","Appointed by GB/board"
"1364014","","4214","08438686","Trustee","Mrs","Jacqui","","Vaughan","14/09/2018","13/09/2022","Appointed by GB/board"
"1364019","","4214","08438686","Trustee","Fr","Richard","","Edwards","01/03/2019","21/12/2021","Appointed by foundation/Trust"
"1364021","","4214","08438686","Trustee","Mr","Sandy","","Anderson","07/11/2016","06/11/2024","Appointed by foundation/Trust"
"1416494","","4214","08438686","Trustee","Mr","Leslie","Martin","Robins","11/03/2022","16/06/2022","Appointed by GB/board"
"1423263","","4214","08438686","Member","Canon","Mark","","O'Keeffe","26/09/2019","","Foundation/sponsor members"
"1459825","","4214","08438686","Accounting Officer","Mrs","Zoe","","Batten","01/09/2020","","N/A"
"1475780","","4214","08438686","Chair of Trustees","Mr","Andrew","","Nicholls","23/10/2020","14/03/2022","Appointed by foundation/Trust"
"1484317","","4214","08438686","Member","Canon","John","","Deeny","27/01/2020","","Appointed by foundation/Trust"
"1510104","","4214","08438686","Trustee","Mrs","Elizabeth","Ruth","O'Donovan","17/02/2021","16/02/2025","Appointed by foundation/Trust"
"1531585","","4214","08438686","Trustee","Mrs","Patricia","Ann","Martin","19/06/2021","10/12/2021","Appointed by foundation/Trust"
"1594000","","4214","08438686","Chair of Trustees","Dr","Elizabeth","Ruth","O'Donovan","11/03/2022","16/02/2025","Appointed by foundation/Trust"
"1594002","","4214","08438686","Chief Financial Officer","Mrs","Laura","Elaine","Fox","01/09/2021","","N/A"
"1594003","","4214","08438686","Trustee","Mr","Graham","","Briscoe","11/03/2022","10/03/2023","Appointed by foundation/Trust"
"1594005","","4214","08438686","Trustee","Mr","Nicholas","","Johnson","16/12/2021","15/12/2025","Appointed by foundation/Trust"
"1594007","","4214","08438686","Member","Father","Kristian","","Paver","17/12/2021","","Any additional members appointed by the members of the academy trust"
"1624120","","4214","08438686","Trustee","Mrs","Ann","","Harris","15/09/2022","14/09/2026","Appointed by foundation/Trust"
"1624121","","4214","08438686","Trustee","Mrs","Jacqui","","Vaughan","14/09/2022","13/09/2026","Appointed by foundation/Trust"
"1624122","","4214","08438686","Trustee","Mrs","Alison","","Nettleship","20/05/2022","19/05/2023","Appointed by GB/board"
"1624123","","4214","08438686","Trustee","Mr","Stephen","","Hole","07/10/2022","06/10/2026","Appointed by foundation/Trust"
"1624125","","4214","08438686","Member","","David","","Charlesworth","22/11/2021","","Any additional members appointed by the members of the academy trust"
"1299007","","4219","08425359","Chief Financial Officer","Mrs","Terri","","Nelson","22/04/2014","31/08/2022","N/A"
"1413351","","4219","08425359","Accounting Officer","Mrs","Alison","","Bayliss","27/03/2019","","N/A"
"1413352","","4219","08425359","Member","Mr","Matthew","","Lawrence","11/09/2019","","Any additional members appointed by the members of the academy trust"
"1413353","","4219","08425359","Member","Mrs","Meera","","Brooks","11/09/2019","","Any additional members appointed by the members of the academy trust"
"1413354","","4219","08425359","Member","Mr","Derek","","Martin","11/09/2019","","Any additional members appointed by the members of the academy trust"
"1413355","","4219","08425359","Trustee","Mr","Barras","","Stone","12/09/2018","11/09/2022","Appointed by academy members"
"1413357","","4219","08425359","Trustee","Mrs","Alison","","Bayliss","27/03/2019","","Ex-officio by virtue of office as headteacher/principal"
"1413359","","4219","08425359","Trustee","Mr","Michael","","McClintock","11/09/2019","10/09/2023","Appointed by academy members"
"1413360","","4219","08425359","Trustee","Mr","Ashley","","St John","19/06/2019","18/06/2023","Appointed by academy members"
"1436679","","4219","08425359","Trustee","Mr","Paul","","Lord","10/03/2020","09/03/2024","Elected by parents"
"1492434","","4219","08425359","Trustee","Mrs","Anne","","Piggott","15/12/2020","14/12/2024","Appointed by academy members"
"1513969","","4219","08425359","Trustee","Mr","Kevin","","Thomas","21/03/2021","26/09/2022","Appointed by academy members"
"1542018","","4219","08425359","Chair of Trustees","Mr","Michael","","McClintock","16/09/2021","10/09/2023","Appointed by academy members"
"1542019","","4219","08425359","Member","Mr","Michael","","McClintock","15/09/2021","","Appointed by GB/board"
"1552034","","4219","08425359","Trustee","Mrs","Susan","Jane","Field","07/10/2021","06/10/2025","Appointed by GB/board"
"1565103","","4219","08425359","Trustee","Mr","James","","Carnegie","26/11/2021","25/11/2025","Elected by parents"
"1600069","","4219","08425359","Member","Mr","Christopher","","Wragg","16/02/2022","","Appointed by academy members"
"1605976","","4219","08425359","Trustee","Mrs","Karen","","Gee","06/07/2022","05/07/2026","Appointed by GB/board"
"1610907","","4219","08425359","Trustee","Ms","Mary","","Fyfe","20/07/2022","19/07/2026","Appointed by GB/board"
"1614519","","4219","08425359","Chief Financial Officer","","Gemma","","Gallagher","01/09/2022","","N/A"
"1615502","","4219","08425359","Trustee","Mr","Barras","","Stone","11/09/2022","10/09/2026","Appointed by academy members"
"1005866","","4220","09078530","Accounting Officer","Mr","Tim","","Plumb","18/08/2014","","N/A"
"1112467","","4220","09078530","Chief Financial Officer","Mrs","Alexa","","Rendell","17/09/2014","07/02/2022","N/A"
"1112800","","4220","09078530","Member","Mrs","Sylvia","Anne","Perrins","10/06/2014","","Appointed by GB/board"
"1112809","","4220","09078530","Trustee","Mr","Timothy","John","Plumb","15/09/2014","01/09/2023","Appointed by foundation/Trust"
"1112848","","4220","09078530","Member","Mr","Robert","Brian","Janes","10/06/2014","","Appointed by GB/board"
"1377607","","4220","09078530","Member","","Lucy","","Webb","14/05/2019","31/08/2022","Appointed by GB/board"
"1390898","","4220","09078530","Member","Ms","Lynne","","Wainright","01/09/2019","","Appointed by GB/board"
"1452104","","4220","09078530","Trustee","Ms","Tracy","","Russell","01/07/2019","30/06/2023","Appointed by academy members"
"1492581","","4220","09078530","Member","Mrs","Julia","","Richardson","22/12/2020","","Appointed by academy members"
"1500461","","4220","09078530","Trustee","Ms","Susannah","","Wood","01/12/2020","31/08/2022","Appointed by academy members"
"1500661","","4220","09078530","Chair of Trustees","Ms","Sylvia","","Perrins","13/12/2021","12/12/2025","Appointed by academy members"
"1500667","","4220","09078530","Trustee","Mr","Robert","","Janes","13/12/2021","12/12/2025","Appointed by academy members"
"1566231","","4220","09078530","Trustee","Ms","Kate","","Batchelor","01/12/2021","30/11/2025","Appointed by academy members"
"1580694","","4220","09078530","Chief Financial Officer","Mrs","Amanda","","Peters","08/02/2022","","N/A"
"1590107","","4220","09078530","Trustee","Mr","John","","Philip","25/03/2022","24/03/2026","Appointed by academy members"
"1610121","","4220","09078530","Member","Mr","Byron","","Parker","01/09/2022","","Appointed by academy members"
"1610124","","4220","09078530","Trustee","Mr","Sarabjit","Singh","Bahra","01/09/2022","31/08/2026","Appointed by academy members"
"1610125","","4220","09078530","Trustee","Mrs","Jennifer","","King","01/09/2022","31/08/2026","Appointed by academy members"
"1042251","","4223","08445158","Member","Mr","John","","Gough","14/03/2013","","Original (signatory) members"
"1186909","","4223","08445158","Trustee","Mr","David","","Wilkin","09/04/2014","31/08/2026","Appointed by academy members"
"1186953","","4223","08445158","Trustee","Mr","John","","Gough","14/03/2017","13/03/2025","Appointed by academy members"
"1259890","","4223","08445158","Trustee","Mr","Andrew","","Clarke","17/05/2017","16/05/2025","Appointed by academy members"
"1279446","","4223","08445158","Accounting Officer","Mr","Julian","","Appleyard OBE","05/03/2018","","N/A"
"1279453","","4223","08445158","Trustee","Mr","Julian","","Appleyard OBE","05/03/2018","04/03/2026","Appointed by academy members"
"1291950","","4223","08445158","Trustee","Mrs","Elaine","","Shepherd","02/05/2018","02/05/2026","Appointed by academy members"
"1404832","","4223","08445158","Chair of Trustees","Dr","Philip","","Jones","14/08/2015","31/08/2026","Appointed by academy members"
"1505036","","4223","08445158","Trustee","","Reuben","","Moore","11/02/2021","10/02/2025","Appointed by academy members"
"1533339","","4223","08445158","Chief Financial Officer","Ms","Keedy","","Watson","21/07/2021","","N/A"
"1559844","","4223","08445158","Member","Mr","Martin","","Brooke","02/11/2021","","Appointed by academy members"
"1609902","","4223","08445158","Member","Ms","Linda","Mary","Smart","21/07/2022","","Appointed by academy members"
"1005870","","4227","09113542","Accounting Officer","Mr","Fraser","","Long","18/08/2014","","N/A"
"1063000","","4227","09113542","Trustee","Mr","Tony","","O'Donnell","01/08/2018","31/07/2022","Appointed by academy members"
"1126429","","4227","09113542","Member","The Revd","Roland","Jonathan","Veasey","04/03/2015","","Appointed by foundation/Trust"
"1304177","","4227","09113542","Chair of Trustees","Mr","Paul","","Concannon","01/08/2018","31/07/2022","Appointed by academy members"
"1426759","","4227","09113542","Trustee","Mr","Adrian","","Waters","31/07/2018","30/07/2022","Appointed by academy members"
"1451513","","4227","09113542","Trustee","Mr","Michael","","Robarts","01/04/2020","31/01/2024","Appointed by academy members"
"1460825","","4227","09113542","Trustee","Mr","James","","O'Neill","14/07/2020","13/07/2024","Appointed by academy members"
"1460826","","4227","09113542","Trustee","Canon","Mervyn","","Tower","27/08/2020","26/08/2024","Appointed by academy members"
"1520833","","4227","09113542","Chief Financial Officer","Mr","Paul","","Quinn","01/05/2021","12/06/2022","N/A"
"1553675","","4227","09113542","Member","Mr","Eric","","Kirwan","13/04/2021","","Appointed by foundation/Trust"
"1561318","","4227","09113542","Trustee","Mrs","Judith","","Schmidt","02/08/2018","01/08/2022","Appointed by academy members"
"1578890","","4227","09113542","Member","","Jacqui","","Francis","06/01/2022","","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1578892","","4227","09113542","Member","","Peter","","Vella","06/01/2022","","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1578893","","4227","09113542","Member","","Christopher","","Loughran","21/01/2022","","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1600120","","4227","09113542","Chief Financial Officer","Mr","Martin","John","Bayliss","13/06/2022","","N/A"
"1294620","","4230","08161468","Member","Mr","Andrew","Ronald","Robinson","24/05/2018","","Foundation/sponsor members"
"1295440","","4230","08161468","Trustee","Mr","Clifford","Gerald","Taylor","04/06/2018","03/06/2022","Appointed by academy members"
"1358866","","4230","08161468","Trustee","Mrs","Fiona","","Perkins","21/01/2019","21/01/2023","Appointed by foundation/Trust"
"1406732","","4230","08161468","Member","Mrs","Victoria","","James","11/06/2019","","Any additional members appointed by the members of the academy trust"
"1459865","","4230","08161468","Trustee","Mr","Graham","","Exon","25/08/2020","24/08/2024","Appointed by academy members"
"1477827","","4230","08161468","Member","Revd Dr","Anthony","","Cane","07/10/2020","","Appointed by academy members"
"1532705","","4230","08161468","Accounting Officer","Mr","Cliff","","Taylor","12/06/2021","","N/A"
"1534941","","4230","08161468","Chief Financial Officer","Mr","Cliff","","Taylor","20/08/2021","","N/A"
"1080134","","4232","08158400","Trustee","Miss","Janet","","Bradford","01/09/2019","31/08/2023","Appointed by foundation/Trust"
"1133655","","4232","08158400","Member","Mr","Peter","","Hutchings","01/04/2015","","Appointed by foundation/Trust"
"1374774","","4232","08158400","Member","Dr","Andrew","","King","31/01/2019","","Any additional members appointed by the members of the academy trust"
"1374777","","4232","08158400","Member","Mr","John","Marshall","Zealander","31/01/2019","","Any additional members appointed by the members of the academy trust"
"1441036","","4232","08158400","Chief Financial Officer","","Nicola","","Newnham","28/04/2020","","N/A"
"1441037","","4232","08158400","Accounting Officer","Mr","Anthony","","Head","28/04/2020","","N/A"
"1005883","","4243","07821367","Accounting Officer","Mr","Gary","","Chown","04/03/2014","","N/A"
"1128808","","4243","07821367","Trustee","Mr","Gary","","Chown","01/11/2011","","Ex-officio by virtue of office as headteacher/principal"
"1128983","","4243","07821367","Member","Mr","Hugh","","Whittaker","01/01/2015","20/09/2022","Appointed by academy members"
"1128996","","4243","07821367","Member","","Exeter Diocesan Education Network","","Exeter Diocesan Education Network","24/10/2011","","Original (signatory) members"
"1129005","","4243","07821367","Member","","Exeter University","","Exeter University","24/10/2014","","Original (signatory) members"
"1187220","","4243","07821367","Chief Financial Officer","Mrs","Lynne","","Hyland","10/04/2017","","N/A"
"1334452","","4243","07821367","Trustee","Mr","David","","Edwards","03/10/2022","03/10/2026","Appointed by academy members"
"1337880","","4243","07821367","Trustee","","Mac","","Muzvimwe","13/12/2018","13/12/2022","Appointed by academy members"
"1337883","","4243","07821367","Trustee","","Nathalie","","Ingles","13/12/2018","13/12/2022","Appointed by academy members"
"1337885","","4243","07821367","Trustee","","Clare","","Luke","13/12/2018","13/12/2022","Appointed by academy members"
"1346899","","4243","07821367","Trustee","","Caroline","","Thomas","12/12/2018","12/12/2022","Appointed by foundation/Trust"
"1486321","","4243","07821367","Chair of Trustees","","Hugh","","Whittaker","22/09/2021","20/09/2022","Appointed by GB/board"
"1502853","","4243","07821367","Trustee","","Tina","","Jafrate","30/01/2021","29/01/2022","Appointed by foundation/Trust"
"1576120","","4243","07821367","Trustee","","Joanna","","Hall-Tomkin","02/02/2022","01/02/2026","Appointed by foundation/Trust"
"1605146","","4243","07821367","Member","","James","","Hutchinson","19/07/2022","","Original (signatory) members"
"1615212","","4243","07821367","Chair of Trustees","","Nathalie","","Ingles","21/09/2022","21/09/2023","Appointed by GB/board"
"1615214","","4243","07821367","Trustee","","Hugh","","Whittaker","21/09/2022","20/09/2023","Appointed by GB/board"
"1615218","","4243","07821367","Member","","Nathalie","","Ingles","21/09/2022","","Appointed by GB/board"
"1184306","","4244","08068528","Accounting Officer","Mrs","Bridget","","Harris","01/01/2002","","N/A"
"1184311","","4244","08068528","Chief Financial Officer","Mrs","Frances","","Fenning","01/01/2018","07/03/2022","N/A"
"1184344","","4244","08068528","Shared Local Governor - Group","Mr","Simon","","Fenning","","","Appointed by foundation/Trust"
"1461902","","4244","08068528","Chair of Trustees","Mr","Simon","Charles","Fenning","27/06/2012","31/08/2024","Appointed by foundation/Trust"
"1469010","","4244","08068528","Trustee","Mr","Adrian","","Livesley","01/09/2020","31/08/2024","Appointed by foundation/Trust"
"1469012","","4244","08068528","Trustee","Mrs","Catherine","","Bonich","03/12/2013","01/01/2022","Appointed by foundation/Trust"
"1469017","","4244","08068528","Trustee","","Sean","","Hayes","01/09/2020","31/08/2024","Appointed by foundation/Trust"
"1469022","","4244","08068528","Trustee","Mrs","Catherine","","McKenna","01/09/2020","31/08/2024","Appointed by foundation/Trust"
"1469032","","4244","08068528","Member","Rev","Alan","","Williams","01/09/2019","","Appointed by foundation/Trust"
"1469037","","4244","08068528","Member","Mr","Robert","","Simpson","01/09/2019","","Appointed by foundation/Trust"
"1469040","","4244","08068528","Member","Fr","Stephen","","Myers","01/09/2019","","Appointed by foundation/Trust"
"1530116","","4244","08068528","Trustee","Mrs","Georgina","Martin","Turnbull","07/01/2021","06/01/2025","Appointed by foundation/Trust"
"1530117","","4244","08068528","Trustee","Miss","Katherine","","Reilly","07/01/2021","06/01/2025","Appointed by foundation/Trust"
"1583817","","4244","08068528","Chief Financial Officer","Mrs","Tara","Louise","King","08/03/2022","","N/A"
"1005890","","4245","08738750","Accounting Officer","Mr","Andrew","","Moorhouse","01/10/2018","","N/A"
"1005892","","4245","08738750","Chair of Trustees","Mr","William","John","Harwood","12/11/2021","11/11/2025","Appointed by academy members"
"1052486","","4245","08738750","Trustee","Mr","Andrew","Gordon","Spearman","10/12/2014","10/12/2022","Appointed by academy members"
"1052562","","4245","08738750","Trustee","Mr","Stephen","","Rumbles","23/03/2016","22/03/2024","Appointed by academy members"
"1052615","","4245","08738750","Member","Mr","Steven","","Ristow","01/11/2013","01/09/2022","Appointed by GB/board"
"1052618","","4245","08738750","Member","Mr","Martin","","Wallbridge","01/11/2013","","Appointed by GB/board"
"1052624","","4245","08738750","Member","Mr","Andrew","Gordon","Spearman","20/07/2016","12/11/2021","Appointed by GB/board"
"1074036","","4245","08738750","Member","Mr","William","","Harwood","01/11/2013","","Appointed by academy members"
"1087512","","4245","08738750","Trustee","Miss","Sandra","","Connington","04/11/2016","20/07/2022","Appointed by academy members"
"1285581","","4245","08738750","Chief Financial Officer","Mr","Malcolm","","Gray","01/04/2018","","N/A"
"1328646","","4245","08738750","Member","Mrs","Hannah","","Bayley","02/11/2018","","Appointed by academy members"
"1444060","","4245","08738750","Trustee","Mrs","Alison","","Hales","20/05/2020","19/05/2024","Appointed by academy members"
"1608386","","4245","08738750","Member","Mr","Jonathan","Terence Joseph","O'Neill","01/09/2022","","Appointed by academy members"
"1608388","","4245","08738750","Trustee","Mr","David","William","Jones","01/09/2022","01/09/2026","Appointed by academy members"
"1608389","","4245","08738750","Trustee","Mr","Steven","","Ristow","01/09/2022","01/09/2026","Appointed by academy members"
"1609732","","4245","08738750","Trustee","Mr","Nigel","","Richards","01/09/2022","01/09/2026","Appointed by academy members"
"1005893","","4250","08032410","Accounting Officer","Dr","Nick","","Ware","01/01/1900","","N/A"
"1005894","","4250","08032410","Chair of Trustees","","J M","","Winter","01/01/1900","","N/A"
"1005895","","4253","06462935","Accounting Officer","Mr","Ian","","Jones","20/05/2014","","N/A"
"1005897","","4253","06462935","Chair of Trustees","Mr","Howard","","Gee","01/10/2012","01/09/2024","Appointed by academy members"
"1050950","","4253","06462935","Trustee","Mr","Simon","","Richardson","08/10/2012","08/10/2024","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1058633","","4253","06462935","Member","Mrs","Deborah","","Harry","01/08/2016","","Any additional members appointed by the members of the academy trust"
"1058637","","4253","06462935","Trustee","Mr","Frank","","Knowles","01/10/2012","01/09/2024","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1058638","","4253","06462935","Trustee","Mr","Peter","","Houten","01/10/2012","31/12/2021","Persons who are appointed by the foundation body or sponsor (if applicable)"
"1058642","","4253","06462935","Trustee","Mr","Ian","","Jones","01/10/2012","01/09/2024","Appointed by academy members"
"1169425","","4253","06462935","Member","Mr","Howard","","Gee","14/03/2014","","Foundation/sponsor members"
