URN,LA,ESTAB,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,PNUMFSMEVER
112082,908,6089,Independent school,61,25,36,41.0%,59.0%,1,1.6%,7,11.5%,0,0,0,0%,0%,0%,0
112088,909,1001,State-funded nursery,41,24,17,58.5%,41.5%,1,2.4%,3,7.3%,0,41,0,0%,100%,0%,0
112089,909,1002,State-funded nursery,57,26,31,45.6%,54.4%,1,1.8%,3,5.3%,0,57,0,0%,100%,0%,2
112090,909,1003,State-funded nursery,30,13,17,43.3%,56.7%,2,6.7%,2,6.7%,1,29,0,3.3%,96.7%,0%,0
112091,909,1005,State-funded nursery,98,54,44,55.1%,44.9%,0,0%,3,3.1%,8,90,0,8.2%,91.8%,0%,0
112093,909,1011,State-funded nursery,86,45,41,52.3%,47.7%,2,2.3%,0,0%,2,84,0,2.3%,97.7%,0%,0
112095,909,1100,Pupil referral unit,69,18,51,26.1%,73.9%,28,40.6%,29,42.0%,1,67,1,1.4%,97.1%,1.4%,31,42,60.9%
112096,909,1103,Pupil referral unit,21,4,17,19.0%,81.0%,10,47.6%,11,52.4%,0,21,0,0%,100%,0%,15,17,81.0%
112098,909,1105,Pupil referral unit,52,23,29,44.2%,55.8%,7,13.5%,18,34.6%,0,52,0,0%,100%,0%,25,27,51.9%
112100,909,2001,State-funded primary,20,12,8,60.0%,40.0%,1,5.0%,5,25.0%,0,20,0,0%,100%,0%,7,7,35.0%
112101,909,2004,State-funded primary,92,53,39,57.6%,42.4%,2,2.2%,11,12.0%,0,92,0,0%,100%,0%,16,20,21.7%
112102,909,2005,State-funded primary,69,34,35,49.3%,50.7%,0,0%,20,29.0%,0,68,1,0%,98.6%,1.4%,3,3,4.3%
112103,909,2008,State-funded primary,12,7,5,58.3%,41.7%,0,0%,1,8.3%,0,12,0,0%,100%,0%,3,3,25.0%
112104,909,2010,State-funded primary,65,37,28,56.9%,43.1%,3,4.6%,8,12.3%,0,65,0,0%,100%,0%,2,2,3.1%
112106,909,2014,State-funded primary,115,54,61,47.0%,53.0%,3,2.6%,7,6.1%,0,115,0,0%,100%,0%,1,3,2.6%
112107,909,2019,State-funded primary,106,55,51,51.9%,48.1%,3,2.8%,8,7.5%,0,106,0,0%,100%,0%,10,14,13.2%
112108,909,2020,State-funded primary,181,85,96,47.0%,53.0%,4,2.2%,24,13.3%,0,181,0,0%,100%,0%,11,14,7.7%
112110,909,2027,State-funded primary,24,12,12,50.0%,50.0%,1,4.2%,4,16.7%,0,24,0,0%,100%,0%,4,4,16.7%
112111,909,2028,State-funded primary,37,17,20,45.9%,54.1%,1,2.7%,5,13.5%,0,37,0,0%,100%,0%,4,4,10.8%
112112,909,2032,State-funded primary,44,21,23,47.7%,52.3%,1,2.3%,10,22.7%,0,44,0,0%,100%,0%,6,6,13.6%
112113,909,2033,State-funded primary,65,31,34,47.7%,52.3%,0,0%,12,18.5%,2,63,0,3.1%,96.9%,0%,3,3,4.6%
112114,909,2035,State-funded primary,82,47,35,57.3%,42.7%,0,0%,12,14.6%,0,82,0,0%,100%,0%,6,6,7.3%
112116,909,2040,State-funded primary,24,10,14,41.7%,58.3%,1,4.2%,3,12.5%,0,24,0,0%,100%,0%,2,3,12.5%
112117,909,2045,State-funded primary,158,64,94,40.5%,59.5%,5,3.2%,72,45.6%,37,121,0,23.4%,76.6%,0%,20,21,13.3%
112118,909,2046,State-funded primary,204,93,111,45.6%,54.4%,14,6.9%,26,12.7%,24,180,0,11.8%,88.2%,0%,30,36,17.6%
112119,909,5225,State-funded primary,52,24,28,46.2%,53.8%,1,1.9%,6,11.5%,0,51,1,0%,98.1%,1.9%,2,3,5.8%
112120,909,2054,State-funded primary,88,35,53,39.8%,60.2%,5,5.7%,4,4.5%,0,88,0,0%,100%,0%,6,7,8.0%
112121,909,2058,State-funded primary,81,39,42,48.1%,51.9%,1,1.2%,8,9.9%,2,79,0,2.5%,97.5%,0%,3,3,3.7%
112122,909,2059,State-funded primary,143,75,68,52.4%,47.6%,1,0.7%,12,8.4%,3,140,0,2.1%,97.9%,0%,11,13,9.1%
112123,909,2060,State-funded primary,113,58,55,51.3%,48.7%,2,1.8%,10,8.8%,3,110,0,2.7%,97.3%,0%,7,10,8.8%
112125,909,2069,State-funded primary,229,113,116,49.3%,50.7%,6,2.6%,12,5.2%,2,227,0,0.9%,99.1%,0%,26,28,12.2%
112126,909,2070,State-funded primary,211,105,106,49.8%,50.2%,12,5.7%,15,7.1%,2,209,0,0.9%,99.1%,0%,15,15,7.1%
112127,909,2071,State-funded primary,215,109,106,50.7%,49.3%,5,2.3%,19,8.8%,2,213,0,0.9%,99.1%,0%,45,50,23.3%
112129,909,2103,State-funded primary,85,51,34,60.0%,40.0%,2,2.4%,4,4.7%,0,85,0,0%,100%,0%,11,15,17.6%
112132,909,2117,State-funded primary,89,50,39,56.2%,43.8%,1,1.1%,20,22.5%,2,87,0,2.2%,97.8%,0%,16,18,20.2%
112134,909,2124,State-funded primary,66,36,30,54.5%,45.5%,2,3.0%,28,42.4%,1,65,0,1.5%,98.5%,0%,18,18,27.3%
112136,909,2126,State-funded primary,134,62,72,46.3%,53.7%,4,3.0%,52,38.8%,6,128,0,4.5%,95.5%,0%,69,77,57.5%
112137,909,2127,State-funded primary,76,33,43,43.4%,56.6%,2,2.6%,0,0%,3,73,0,3.9%,96.1%,0%,11,11,14.5%
112138,909,5226,State-funded primary,74,45,29,60.8%,39.2%,1,1.4%,9,12.2%,0,74,0,0%,100%,0%,19,19,25.7%
112143,909,2143,State-funded primary,63,28,35,44.4%,55.6%,3,4.8%,13,20.6%,9,54,0,14.3%,85.7%,0%,13,13,20.6%
112144,909,2144,State-funded primary,291,137,154,47.1%,52.9%,10,3.4%,55,18.9%,11,280,0,3.8%,96.2%,0%,56,56,19.2%
112145,909,2146,State-funded primary,263,126,137,47.9%,52.1%,8,3.0%,88,33.5%,9,254,0,3.4%,96.6%,0%,115,127,48.3%
112146,909,2147,State-funded primary,216,115,101,53.2%,46.8%,1,0.5%,17,7.9%,4,210,2,1.9%,97.2%,0.9%,22,22,10.2%
112147,909,2148,State-funded primary,250,141,109,56.4%,43.6%,7,2.8%,31,12.4%,2,248,0,0.8%,99.2%,0%,41,47,18.8%
112155,909,2207,State-funded primary,209,103,106,49.3%,50.7%,6,2.9%,12,5.7%,0,209,0,0%,100%,0%,32,33,15.8%
112156,909,2211,State-funded primary,128,62,66,48.4%,51.6%,2,1.6%,18,14.1%,0,128,0,0%,100%,0%,23,24,18.8%
112157,909,2212,State-funded primary,172,85,87,49.4%,50.6%,10,5.8%,10,5.8%,0,172,0,0%,100%,0%,19,23,13.4%
112158,909,2216,State-funded primary,57,27,30,47.4%,52.6%,2,3.5%,6,10.5%,0,57,0,0%,100%,0%,13,13,22.8%
112159,909,2219,State-funded primary,74,42,32,56.8%,43.2%,2,2.7%,12,16.2%,0,74,0,0%,100%,0%,16,17,23.0%
112160,909,2220,State-funded primary,125,63,62,50.4%,49.6%,5,4.0%,31,24.8%,5,120,0,4.0%,96.0%,0%,38,49,39.2%
112161,909,2222,State-funded primary,78,41,37,52.6%,47.4%,3,3.8%,3,3.8%,0,78,0,0%,100%,0%,13,13,16.7%
112162,909,2223,State-funded primary,126,61,65,48.4%,51.6%,6,4.8%,8,6.3%,2,124,0,1.6%,98.4%,0%,12,14,11.1%
112163,909,2224,State-funded primary,130,68,62,52.3%,47.7%,9,6.9%,17,13.1%,1,129,0,0.8%,99.2%,0%,14,15,11.5%
112164,909,2225,State-funded primary,199,88,111,44.2%,55.8%,2,1.0%,15,7.5%,4,194,1,2.0%,97.5%,0.5%,11,13,6.5%
112166,909,2227,State-funded primary,43,26,17,60.5%,39.5%,0,0%,10,23.3%,0,43,0,0%,100%,0%,6,7,16.3%
112167,909,2228,State-funded primary,220,117,103,53.2%,46.8%,14,6.4%,47,21.4%,4,216,0,1.8%,98.2%,0%,36,38,17.3%
112169,909,2230,State-funded primary,120,59,61,49.2%,50.8%,1,0.8%,3,2.5%,8,112,0,6.7%,93.3%,0%,31,31,25.8%
112170,909,2231,State-funded primary,109,47,62,43.1%,56.9%,4,3.7%,15,13.8%,3,106,0,2.8%,97.2%,0%,50,55,50.5%
112175,909,2237,State-funded primary,422,210,212,49.8%,50.2%,12,2.8%,51,12.1%,12,410,0,2.8%,97.2%,0%,39,39,9.2%
112176,909,2301,State-funded primary,59,33,26,55.9%,44.1%,0,0%,12,20.3%,0,59,0,0%,100%,0%,6,7,11.9%
112177,909,2302,State-funded primary,82,38,44,46.3%,53.7%,1,1.2%,9,11.0%,0,82,0,0%,100%,0%,21,22,26.8%
112178,909,2305,State-funded primary,70,34,36,48.6%,51.4%,1,1.4%,9,12.9%,0,70,0,0%,100%,0%,6,12,17.1%
112179,909,2308,State-funded primary,113,51,62,45.1%,54.9%,4,3.5%,8,7.1%,1,112,0,0.9%,99.1%,0%,6,6,5.3%
112180,909,2310,State-funded primary,230,119,111,51.7%,48.3%,0,0%,14,6.1%,0,230,0,0%,100%,0%,32,34,14.8%
112181,909,2311,State-funded primary,45,19,26,42.2%,57.8%,2,4.4%,4,8.9%,0,45,0,0%,100%,0%,9,9,20.0%
112182,909,2313,State-funded primary,96,45,51,46.9%,53.1%,1,1.0%,15,15.6%,0,96,0,0%,100%,0%,10,10,10.4%
112183,909,2314,State-funded primary,11,3,8,27.3%,72.7%,0,0%,0,0%,0,11,0,0%,100%,0%,2,2,18.2%
112184,909,2315,State-funded primary,185,84,101,45.4%,54.6%,3,1.6%,3,1.6%,5,180,0,2.7%,97.3%,0%,14,16,8.6%
112190,909,2321,State-funded primary,417,195,222,46.8%,53.2%,9,2.2%,20,4.8%,10,407,0,2.4%,97.6%,0%,19,26,6.2%
112191,909,2322,State-funded primary,93,45,48,48.4%,51.6%,3,3.2%,13,14.0%,12,81,0,12.9%,87.1%,0%,13,13,14.0%
112192,909,2403,State-funded primary,115,61,54,53.0%,47.0%,2,1.7%,14,12.2%,5,110,0,4.3%,95.7%,0%,12,12,10.4%
112193,909,2404,State-funded primary,78,40,38,51.3%,48.7%,4,5.1%,7,9.0%,0,78,0,0%,100%,0%,4,5,6.4%
112194,909,2406,State-funded primary,80,36,44,45.0%,55.0%,2,2.5%,22,27.5%,0,80,0,0%,100%,0%,8,9,11.2%
112195,909,2407,State-funded primary,46,31,15,67.4%,32.6%,2,4.3%,4,8.7%,0,46,0,0%,100%,0%,0,1,2.2%
112197,909,2413,State-funded primary,176,88,88,50.0%,50.0%,2,1.1%,4,2.3%,1,175,0,0.6%,99.4%,0%,9,10,5.7%
112198,909,2414,State-funded primary,140,58,82,41.4%,58.6%,6,4.3%,28,20.0%,0,140,0,0%,100%,0%,23,26,18.6%
112199,909,2502,State-funded primary,120,53,67,44.2%,55.8%,2,1.7%,24,20.0%,2,118,0,1.7%,98.3%,0%,50,51,42.5%
112206,909,2509,State-funded primary,188,88,100,46.8%,53.2%,14,7.4%,37,19.7%,7,181,0,3.7%,96.3%,0%,88,107,56.9%
112207,909,2511,State-funded primary,196,110,86,56.1%,43.9%,5,2.6%,7,3.6%,3,191,2,1.5%,97.4%,1.0%,28,34,17.3%
112208,909,2512,State-funded primary,131,67,64,51.1%,48.9%,6,4.6%,18,13.7%,5,126,0,3.8%,96.2%,0%,42,42,32.1%
112209,909,2513,State-funded primary,174,70,104,40.2%,59.8%,18,10.3%,12,6.9%,0,174,0,0%,100%,0%,37,40,23.0%
112210,909,2514,State-funded primary,236,108,128,45.8%,54.2%,6,2.5%,18,7.6%,10,226,0,4.2%,95.8%,0%,13,13,5.5%
112211,909,2515,State-funded primary,193,98,95,50.8%,49.2%,8,4.1%,33,17.1%,1,192,0,0.5%,99.5%,0%,31,35,18.1%
112212,909,2518,State-funded primary,175,80,95,45.7%,54.3%,3,1.7%,7,4.0%,0,175,0,0%,100%,0%,22,22,12.6%
112213,909,2521,State-funded primary,198,99,99,50.0%,50.0%,6,3.0%,17,8.6%,9,189,0,4.5%,95.5%,0%,9,9,4.5%
112216,909,2606,State-funded primary,287,149,138,51.9%,48.1%,11,3.8%,64,22.3%,26,261,0,9.1%,90.9%,0%,84,99,34.5%
112217,909,2607,State-funded primary,235,120,115,51.1%,48.9%,8,3.4%,43,18.3%,23,212,0,9.8%,90.2%,0%,68,51,21.7%
112219,909,2609,State-funded primary,341,167,174,49.0%,51.0%,4,1.2%,18,5.3%,24,317,0,7.0%,93.0%,0%,62,68,19.9%
112220,909,2610,State-funded primary,132,58,74,43.9%,56.1%,6,4.5%,38,28.8%,19,113,0,14.4%,85.6%,0%,58,68,51.5%
112224,909,2618,State-funded primary,239,117,122,49.0%,51.0%,2,0.8%,33,13.8%,3,236,0,1.3%,98.7%,0%,26,31,13.0%
112226,909,2620,State-funded primary,218,102,116,46.8%,53.2%,1,0.5%,3,1.4%,4,214,0,1.8%,98.2%,0%,18,18,8.3%
112228,909,2622,State-funded primary,434,223,211,51.4%,48.6%,8,1.8%,56,12.9%,10,424,0,2.3%,97.7%,0%,50,54,12.4%
112229,909,2623,State-funded primary,307,152,155,49.5%,50.5%,8,2.6%,37,12.1%,21,286,0,6.8%,93.2%,0%,32,40,13.0%
112230,909,2625,State-funded primary,297,149,148,50.2%,49.8%,4,1.3%,12,4.0%,16,280,1,5.4%,94.3%,0.3%,26,27,9.1%
112231,909,2626,State-funded primary,221,113,108,51.1%,48.9%,6,2.7%,12,5.4%,124,97,0,56.1%,43.9%,0%,49,51,23.1%
112232,909,2627,State-funded primary,228,109,119,47.8%,52.2%,10,4.4%,43,18.9%,8,220,0,3.5%,96.5%,0%,36,41,18.0%
112233,909,2700,State-funded primary,162,79,83,48.8%,51.2%,6,3.7%,11,6.8%,0,162,0,0%,100%,0%,8,9,5.6%
112234,909,2701,State-funded primary,106,49,57,46.2%,53.8%,0,0%,27,25.5%,9,97,0,8.5%,91.5%,0%,12,17,16.0%
112235,909,2703,State-funded primary,202,88,114,43.6%,56.4%,5,2.5%,8,4.0%,0,202,0,0%,100%,0%,41,47,23.3%
112236,909,2704,State-funded primary,138,65,73,47.1%,52.9%,9,6.5%,43,31.2%,6,132,0,4.3%,95.7%,0%,42,45,32.6%
112238,909,2706,State-funded primary,40,22,18,55.0%,45.0%,2,5.0%,10,25.0%,0,40,0,0%,100%,0%,2,2,5.0%
112239,909,2707,State-funded primary,106,56,50,52.8%,47.2%,7,6.6%,25,23.6%,0,106,0,0%,100%,0%,30,30,28.3%
112240,909,2708,State-funded primary,84,45,39,53.6%,46.4%,5,6.0%,11,13.1%,0,84,0,0%,100%,0%,20,20,23.8%
112242,909,2710,State-funded primary,433,207,226,47.8%,52.2%,12,2.8%,81,18.7%,34,399,0,7.9%,92.1%,0%,91,103,23.8%
112243,909,2711,State-funded primary,398,178,220,44.7%,55.3%,15,3.8%,32,8.0%,15,383,0,3.8%,96.2%,0%,104,110,27.6%
112244,909,2712,State-funded primary,432,214,218,49.5%,50.5%,9,2.1%,34,7.9%,11,421,0,2.5%,97.5%,0%,36,42,9.7%
112245,909,3002,State-funded primary,77,41,36,53.2%,46.8%,0,0%,12,15.6%,0,77,0,0%,100%,0%,5,5,6.5%
112246,909,3007,State-funded primary,213,119,94,55.9%,44.1%,8,3.8%,12,5.6%,0,213,0,0%,100%,0%,21,23,10.8%
112248,909,3013,State-funded primary,179,83,96,46.4%,53.6%,7,3.9%,13,7.3%,4,172,3,2.2%,96.1%,1.7%,2,2,1.1%
112249,909,3014,State-funded primary,50,20,30,40.0%,60.0%,0,0%,10,20.0%,1,49,0,2.0%,98.0%,0%,11,14,28.0%
112250,909,3015,State-funded primary,182,81,101,44.5%,55.5%,5,2.7%,20,11.0%,3,179,0,1.6%,98.4%,0%,6,7,3.8%
112251,909,3017,State-funded primary,30,13,17,43.3%,56.7%,0,0%,1,3.3%,1,29,0,3.3%,96.7%,0%,1,1,3.3%
112252,909,3018,State-funded primary,120,56,64,46.7%,53.3%,0,0%,19,15.8%,1,119,0,0.8%,99.2%,0%,7,8,6.7%
112253,909,3019,State-funded primary,73,34,39,46.6%,53.4%,0,0%,0,0%,0,73,0,0%,100%,0%,5,5,6.8%
112254,909,3020,State-funded primary,78,28,50,35.9%,64.1%,0,0%,9,11.5%,0,78,0,0%,100%,0%,1,2,2.6%
112255,909,3021,State-funded primary,134,73,61,54.5%,45.5%,3,2.2%,14,10.4%,0,134,0,0%,100%,0%,12,16,11.9%
112256,909,3023,State-funded primary,25,14,11,56.0%,44.0%,1,4.0%,8,32.0%,0,25,0,0%,100%,0%,4,5,20.0%
112257,909,3030,State-funded primary,50,25,25,50.0%,50.0%,0,0%,5,10.0%,1,49,0,2.0%,98.0%,0%,1,2,4.0%
112258,909,3031,State-funded primary,142,63,79,44.4%,55.6%,4,2.8%,12,8.5%,0,142,0,0%,100%,0%,7,11,7.7%
112259,909,3032,State-funded primary,50,26,24,52.0%,48.0%,0,0%,12,24.0%,5,45,0,10.0%,90.0%,0%,8,9,18.0%
112262,909,3054,State-funded primary,81,40,41,49.4%,50.6%,1,1.2%,11,13.6%,1,80,0,1.2%,98.8%,0%,1,3,3.7%
112263,909,3056,State-funded primary,90,41,49,45.6%,54.4%,5,5.6%,8,8.9%,0,90,0,0%,100%,0%,1,1,1.1%
112264,909,3057,State-funded primary,97,45,52,46.4%,53.6%,1,1.0%,19,19.6%,6,91,0,6.2%,93.8%,0%,12,13,13.4%
112265,909,3058,State-funded primary,72,29,43,40.3%,59.7%,1,1.4%,13,18.1%,0,72,0,0%,100%,0%,1,1,1.4%
112266,909,3059,State-funded primary,50,23,27,46.0%,54.0%,2,4.0%,4,8.0%,0,50,0,0%,100%,0%,1,6,12.0%
112267,909,3061,State-funded primary,19,6,13,31.6%,68.4%,1,5.3%,3,15.8%,0,19,0,0%,100%,0%,1,2,10.5%
112269,909,3064,State-funded primary,129,60,69,46.5%,53.5%,2,1.6%,12,9.3%,5,124,0,3.9%,96.1%,0%,11,12,9.3%
112270,909,3100,State-funded primary,150,72,78,48.0%,52.0%,5,3.3%,12,8.0%,2,148,0,1.3%,98.7%,0%,3,3,2.0%
112271,909,3101,State-funded primary,102,53,49,52.0%,48.0%,3,2.9%,6,5.9%,0,102,0,0%,100%,0%,7,7,6.9%
112272,909,3102,State-funded primary,190,86,104,45.3%,54.7%,18,9.5%,19,10.0%,4,186,0,2.1%,97.9%,0%,33,37,19.5%
112273,909,3103,State-funded primary,50,26,24,52.0%,48.0%,3,6.0%,3,6.0%,0,50,0,0%,100%,0%,12,13,26.0%
112274,909,3112,State-funded primary,294,153,141,52.0%,48.0%,9,3.1%,38,12.9%,2,292,0,0.7%,99.3%,0%,30,38,12.9%
112275,909,3114,State-funded primary,54,28,26,51.9%,48.1%,3,5.6%,4,7.4%,0,54,0,0%,100%,0%,0,7,13.0%
112276,909,3115,State-funded primary,53,20,33,37.7%,62.3%,1,1.9%,1,1.9%,0,53,0,0%,100%,0%,9,9,17.0%
112277,909,3116,State-funded primary,249,125,124,50.2%,49.8%,3,1.2%,20,8.0%,3,246,0,1.2%,98.8%,0%,33,35,14.1%
112279,909,3122,State-funded primary,67,29,38,43.3%,56.7%,5,7.5%,8,11.9%,0,67,0,0%,100%,0%,3,3,4.5%
112280,909,3123,State-funded primary,163,86,77,52.8%,47.2%,2,1.2%,6,3.7%,9,154,0,5.5%,94.5%,0%,6,6,3.7%
112281,909,3124,State-funded primary,64,23,41,35.9%,64.1%,4,6.2%,6,9.4%,0,64,0,0%,100%,0%,10,10,15.6%
112282,909,3125,State-funded primary,108,52,56,48.1%,51.9%,5,4.6%,9,8.3%,3,105,0,2.8%,97.2%,0%,10,17,15.7%
112283,909,3126,State-funded primary,53,24,29,45.3%,54.7%,1,1.9%,5,9.4%,4,49,0,7.5%,92.5%,0%,6,7,13.2%
112284,909,3128,State-funded primary,183,96,87,52.5%,47.5%,4,2.2%,21,11.5%,1,182,0,0.5%,99.5%,0%,1,12,6.6%
112286,909,3130,State-funded primary,59,28,31,47.5%,52.5%,6,10.2%,7,11.9%,0,59,0,0%,100%,0%,1,1,1.7%
112287,909,3132,State-funded primary,105,46,59,43.8%,56.2%,1,1.0%,0,0%,0,105,0,0%,100%,0%,8,9,8.6%
112289,909,3150,State-funded primary,235,116,119,49.4%,50.6%,12,5.1%,84,35.7%,4,231,0,1.7%,98.3%,0%,89,97,41.3%
112290,909,3200,State-funded primary,29,20,9,69.0%,31.0%,0,0%,6,20.7%,0,29,0,0%,100%,0%,6,6,20.7%
112293,909,3204,State-funded primary,58,28,30,48.3%,51.7%,0,0%,8,13.8%,0,58,0,0%,100%,0%,2,3,5.2%
112294,909,3206,State-funded primary,117,52,65,44.4%,55.6%,4,3.4%,9,7.7%,0,117,0,0%,100%,0%,3,3,2.6%
112295,909,3207,State-funded primary,22,14,8,63.6%,36.4%,2,9.1%,1,4.5%,0,22,0,0%,100%,0%,1,2,9.1%
112296,909,3209,State-funded primary,81,32,49,39.5%,60.5%,4,4.9%,21,25.9%,1,77,3,1.2%,95.1%,3.7%,27,27,33.3%
112297,909,3210,State-funded primary,133,60,73,45.1%,54.9%,3,2.3%,15,11.3%,5,128,0,3.8%,96.2%,0%,7,8,6.0%
112298,909,3211,State-funded primary,160,79,81,49.4%,50.6%,4,2.5%,22,13.8%,7,153,0,4.4%,95.6%,0%,14,16,10.0%
112299,909,3212,State-funded primary,144,73,71,50.7%,49.3%,3,2.1%,7,4.9%,0,144,0,0%,100%,0%,6,6,4.2%
112300,909,3301,State-funded primary,47,26,21,55.3%,44.7%,1,2.1%,10,21.3%,0,47,0,0%,100%,0%,11,12,25.5%
112301,909,3304,State-funded primary,66,30,36,45.5%,54.5%,1,1.5%,2,3.0%,0,66,0,0%,100%,0%,3,7,10.6%
112302,909,3305,State-funded primary,37,20,17,54.1%,45.9%,2,5.4%,2,5.4%,0,37,0,0%,100%,0%,1,2,5.4%
112303,909,3309,State-funded primary,74,33,41,44.6%,55.4%,0,0%,9,12.2%,1,73,0,1.4%,98.6%,0%,6,8,10.8%
112305,909,3315,State-funded primary,117,67,50,57.3%,42.7%,0,0%,22,18.8%,16,101,0,13.7%,86.3%,0%,14,14,12.0%
112306,909,3316,State-funded primary,61,29,32,47.5%,52.5%,0,0%,10,16.4%,0,61,0,0%,100%,0%,1,1,1.6%
112307,909,3319,State-funded primary,140,68,72,48.6%,51.4%,2,1.4%,10,7.1%,1,139,0,0.7%,99.3%,0%,4,8,5.7%
112308,909,3322,State-funded primary,55,25,30,45.5%,54.5%,0,0%,7,12.7%,0,55,0,0%,100%,0%,1,1,1.8%
112309,909,3324,State-funded primary,69,38,31,55.1%,44.9%,0,0%,16,23.2%,0,69,0,0%,100%,0%,0,1,1.4%
112310,909,3328,State-funded primary,96,54,42,56.2%,43.8%,2,2.1%,11,11.5%,9,87,0,9.4%,90.6%,0%,23,25,26.0%
112313,909,3354,State-funded primary,63,28,35,44.4%,55.6%,1,1.6%,19,30.2%,0,63,0,0%,100%,0%,4,7,11.1%
112314,909,3355,State-funded primary,86,41,45,47.7%,52.3%,1,1.2%,17,19.8%,15,71,0,17.4%,82.6%,0%,8,14,16.3%
112315,909,3356,State-funded primary,24,11,13,45.8%,54.2%,0,0%,2,8.3%,0,24,0,0%,100%,0%,0,1,4.2%
112316,909,3357,State-funded primary,73,41,32,56.2%,43.8%,0,0%,14,19.2%,1,72,0,1.4%,98.6%,0%,3,3,4.1%
112317,909,3358,State-funded primary,97,44,53,45.4%,54.6%,1,1.0%,36,37.1%,3,94,0,3.1%,96.9%,0%,4,4,4.1%
112318,909,3359,State-funded primary,63,40,23,63.5%,36.5%,1,1.6%,6,9.5%,0,63,0,0%,100%,0%,2,3,4.8%
112319,909,3360,State-funded primary,73,37,36,50.7%,49.3%,2,2.7%,13,17.8%,8,65,0,11.0%,89.0%,0%,1,2,2.7%
112320,909,3361,State-funded primary,78,39,39,50.0%,50.0%,2,2.6%,17,21.8%,0,78,0,0%,100%,0%,1,1,1.3%
112321,909,3362,State-funded primary,40,21,19,52.5%,47.5%,2,5.0%,14,35.0%,1,37,2,2.5%,92.5%,5.0%,8,7,17.5%
112322,909,3365,State-funded primary,202,95,107,47.0%,53.0%,1,0.5%,32,15.8%,13,189,0,6.4%,93.6%,0%,39,42,20.8%
112323,909,3367,State-funded primary,240,124,116,51.7%,48.3%,4,1.7%,43,17.9%,4,236,0,1.7%,98.3%,0%,9,9,3.8%
112324,909,3368,State-funded primary,119,59,60,49.6%,50.4%,0,0%,14,11.8%,1,118,0,0.8%,99.2%,0%,7,8,6.7%
112325,909,3370,State-funded primary,171,77,94,45.0%,55.0%,6,3.5%,13,7.6%,4,167,0,2.3%,97.7%,0%,17,17,9.9%
112326,909,3372,State-funded primary,44,20,24,45.5%,54.5%,3,6.8%,1,2.3%,6,38,0,13.6%,86.4%,0%,5,3,6.8%
112327,909,3373,State-funded primary,45,25,20,55.6%,44.4%,2,4.4%,2,4.4%,0,45,0,0%,100%,0%,3,3,6.7%
112328,909,3374,State-funded primary,93,47,46,50.5%,49.5%,4,4.3%,18,19.4%,1,92,0,1.1%,98.9%,0%,12,15,16.1%
112331,909,3381,State-funded primary,34,17,17,50.0%,50.0%,1,2.9%,9,26.5%,0,34,0,0%,100%,0%,3,3,8.8%
112332,909,3400,State-funded primary,50,31,19,62.0%,38.0%,0,0%,6,12.0%,0,50,0,0%,100%,0%,3,3,6.0%
112333,909,3401,State-funded primary,34,19,15,55.9%,44.1%,2,5.9%,11,32.4%,1,33,0,2.9%,97.1%,0%,8,9,26.5%
112335,909,3404,State-funded primary,26,12,14,46.2%,53.8%,1,3.8%,8,30.8%,0,26,0,0%,100%,0%,9,11,42.3%
112337,909,3410,State-funded primary,218,118,100,54.1%,45.9%,3,1.4%,27,12.4%,24,194,0,11.0%,89.0%,0%,68,75,34.4%
112338,909,3414,State-funded primary,201,105,96,52.2%,47.8%,10,5.0%,21,10.4%,2,199,0,1.0%,99.0%,0%,62,68,33.8%
112339,909,3415,State-funded primary,212,100,112,47.2%,52.8%,9,4.2%,34,16.0%,3,209,0,1.4%,98.6%,0%,77,80,37.7%
112340,909,3416,State-funded primary,204,108,96,52.9%,47.1%,5,2.5%,15,7.4%,7,197,0,3.4%,96.6%,0%,49,52,25.5%
112341,909,3450,State-funded primary,184,92,92,50.0%,50.0%,8,4.3%,17,9.2%,5,149,30,2.7%,81.0%,16.3%,17,19,10.3%
112342,909,3451,State-funded primary,68,32,36,47.1%,52.9%,0,0%,6,8.8%,0,68,0,0%,100%,0%,10,10,14.7%
112343,909,3452,State-funded primary,59,29,30,49.2%,50.8%,2,3.4%,12,20.3%,0,59,0,0%,100%,0%,5,6,10.2%
112344,909,3453,State-funded primary,41,22,19,53.7%,46.3%,2,4.9%,7,17.1%,25,16,0,61.0%,39.0%,0%,5,5,12.2%
112345,909,3500,State-funded primary,74,36,38,48.6%,51.4%,1,1.4%,10,13.5%,0,74,0,0%,100%,0%,1,1,1.4%
112348,909,3506,State-funded primary,211,101,110,47.9%,52.1%,0,0%,11,5.2%,1,210,0,0.5%,99.5%,0%,44,54,25.6%
112349,909,3508,State-funded primary,30,16,14,53.3%,46.7%,5,16.7%,4,13.3%,1,29,0,3.3%,96.7%,0%,5,5,16.7%
112350,909,3510,State-funded primary,64,23,41,35.9%,64.1%,4,6.2%,16,25.0%,1,63,0,1.6%,98.4%,0%,19,20,31.2%
112351,909,3514,State-funded primary,182,90,92,49.5%,50.5%,16,8.8%,26,14.3%,1,181,0,0.5%,99.5%,0%,30,34,18.7%
