RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,REGION,ALL_BAND,ALL_SCORE,ALL_COHORT,ALL_PROGRESSED,ALL_APPREN,ALL_HE,ALL_TOP3RD,ALL_RUSSELL,ALL_OXBRIDGE,ALL_HTECH,ACADAGEN_COHORT,ACADAGEN_PROGRESSED,ACADAGEN_SCORE,ACADAGEN_BAND,TLEV_COHORT,TLEV_PROGRESSED,TLEV_SCORE,TLEV_BAND,OTHER_COHORT,OTHER_PROGRESSED,OTHER_SCORE,OTHER_BAND,DIS_PROGRESSED,DIS_APPREN,DIS_HE,DIS_TOP3RD,DIS_RUSSELL,DIS_OXBRIDGE,DIS_HTECH
1,909,5412,137252,William Howard School,Academy - Converter Mainstream,0,0,,3,-5,96,65%,4%,56%,16%,11%,1%,4%,95,65%,-5,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,909,5413,137254,Caldew School,Academy - Converter Mainstream,0,0,,3,-9,68,65%,0%,63%,22%,19%,1%,1%,68,65%,-9,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,909,5414,136902,Keswick School,Academy - Converter Mainstream,0,0,,3,0,138,73%,4%,67%,30%,22%,1%,2%,138,73%,0,3,0,0%,NA,NA,0,0%,NA,NA,57%,0%,57%,14%,14%,SUPP,0%
1,909,6906,135621,Richard Rose Central Academy,Academy - Sponsor Led Mainstream,0,0,,4,-15,39,51%,0%,49%,10%,3%,3%,3%,39,51%,-15,4,0,0%,NA,NA,0,0%,NA,NA,38%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,909,6907,135632,West Lakes Academy,Academy - Sponsor Led Mainstream,0,0,,3,-4,97,67%,10%,56%,14%,10%,1%,1%,97,67%,-4,3,0,0%,NA,NA,0,0%,NA,NA,64%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,909,8001,130631,Kendal College,Further Education Sector Institution,0,0,,3,-5,224,46%,2%,38%,6%,3%,0%,6%,25,60%,-11,3,0,0%,NA,NA,199,44%,-4,3,52%,0%,48%,12%,4%,0%,4%
1,909,8002,130632,Lakes College - West Cumbria,Further Education Sector Institution,0,0,,3,3,82,46%,2%,41%,6%,6%,0%,2%,25,44%,-8,3,19,37%,4,3,38,53%,10,3,55%,SUPP,50%,5%,5%,0%,SUPP
1,909,8005,130633,Furness College,Further Education Sector Institution,0,0,,4,-12,340,49%,6%,28%,7%,2%,SP,15%,179,56%,-14,4,0,0%,NA,NA,161,40%,-9,4,38%,2%,31%,7%,2%,SUPP,5%
LA,909,,,,,,,,NA,-4,2489,64%,4%,56%,20%,15%,1%,4%,2013,69%,-4,NA,60,42%,5,NA,416,42%,-6,NA,65%,4%,56%,21%,16%,1%,4%
1,888,4030,119722,Alder Grange School,Community School,0,0,,3,7,67,63%,0%,57%,12%,6%,0%,6%,61,62%,4,3,6,67%,34,3,0,0%,NA,NA,50%,0%,50%,0%,0%,0%,0%
1,888,4167,145082,Carnforth High School,Academy - Converter Mainstream,0,0,,1,19,30,87%,3%,80%,17%,7%,0%,3%,30,87%,19,1,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,888,4402,119767,Haslingden High School and Sixth Form,Community School,0,0,,3,-3,133,69%,2%,67%,24%,20%,0%,1%,130,70%,-3,3,3,SUPP,SUPP,SUPP,0,0%,NA,NA,57%,SUPP,43%,7%,7%,0%,SUPP
1,888,4410,119773,Moor Park High School and Sixth Form,Foundation School,0,0,,3,-12,21,48%,0%,48%,14%,5%,0%,0%,18,44%,-18,3,0,0%,NA,NA,3,SUPP,SUPP,SUPP,71%,0%,71%,14%,SUPP,0%,0%
1,888,4412,132834,Ormskirk School,Voluntary Controlled School,0,0,,4,-11,79,65%,3%,59%,23%,20%,0%,3%,79,65%,-11,4,0,0%,NA,NA,0,0%,NA,NA,90%,0%,90%,30%,30%,0%,0%
1,888,4630,137421,Accrington St Christopher's Church of England High School,Academy - Converter Mainstream,0,0,,3,3,136,82%,4%,78%,35%,30%,1%,0%,136,82%,3,3,0,0%,NA,NA,0,0%,NA,NA,83%,6%,78%,28%,17%,0%,0%
1,888,4685,119794,Hutton Church of England Grammar School,Voluntary Aided School,0,0,,3,-4,84,70%,4%,65%,25%,15%,1%,1%,84,70%,-4,3,0,0%,NA,NA,0,0%,NA,NA,80%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,888,4689,136731,Ripley St Thomas Church of England Academy,Academy - Converter Mainstream,0,0,,3,-4,172,70%,1%,68%,25%,18%,0%,1%,172,70%,-4,3,0,0%,NA,NA,0,0%,NA,NA,62%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,888,4717,119798,Our Lady's Catholic College,Voluntary Aided School,0,0,,3,-10,39,56%,0%,56%,23%,18%,0%,0%,39,56%,-10,3,0,0%,NA,NA,0,0%,NA,NA,50%,0%,50%,8%,8%,0%,0%
1,888,5400,138835,Bacup and Rawtenstall Grammar School,Academy - Converter Mainstream,0,0,,3,7,200,91%,3%,87%,52%,46%,2%,1%,200,91%,7,2,0,0%,NA,NA,0,0%,NA,NA,90%,10%,80%,40%,30%,0%,0%
1,888,5401,136742,Lancaster Royal Grammar School,Academy - Converter Mainstream,0,0,,3,-1,137,85%,4%,79%,52%,45%,2%,1%,137,85%,-1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,888,5402,136381,Lancaster Girls' Grammar School,Academy - Converter Mainstream,0,0,,3,3,140,90%,1%,87%,57%,51%,4%,2%,140,90%,3,3,0,0%,NA,NA,0,0%,NA,NA,75%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,888,5403,136390,Clitheroe Royal Grammar School,Academy - Converter Mainstream,0,0,,3,4,299,86%,3%,81%,42%,33%,1%,1%,299,86%,4,3,0,0%,NA,NA,0,0%,NA,NA,86%,0%,86%,38%,33%,0%,0%
1,888,6905,135649,Accrington Academy,Academy - Sponsor Led Mainstream,0,0,,3,-2,81,57%,0%,56%,7%,6%,0%,1%,74,62%,1,3,7,0%,-33,3,0,0%,NA,NA,48%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,888,8006,130735,Burnley College,Further Education Sector Institution,0,0,,2,5,537,62%,2%,57%,9%,7%,SP,3%,256,71%,1,3,15,53%,12,3,266,54%,7,2,58%,1%,57%,5%,3%,SUPP,0%
1,888,8008,130737,Lancaster and Morecambe College,Further Education Sector Institution,0,0,,4,-10,137,35%,1%,22%,3%,1%,0%,12%,1,SUPP,SUPP,SUPP,8,25%,-12,3,128,36%,-9,3,32%,SUPP,12%,0%,0%,0%,SUPP
1,888,8012,130738,Nelson and Colne College,Further Education Sector Institution,0,0,,2,14,440,73%,2%,66%,20%,17%,SP,5%,232,83%,10,2,14,50%,14,3,194,63%,18,2,79%,1%,69%,14%,12%,0%,9%
1,888,8015,130740,Preston College,Further Education Sector Institution,0,0,,4,-11,297,37%,2%,29%,3%,2%,0%,6%,74,19%,-42,5,13,23%,-16,3,210,44%,-1,3,39%,1%,34%,5%,4%,0%,4%
1,888,8016,130741,Runshaw College,Further Education Sector Institution,0,0,,2,5,1644,73%,5%,67%,24%,17%,1%,2%,1002,83%,2,3,0,0%,NA,NA,642,58%,10,2,73%,2%,67%,14%,9%,1%,4%
1,888,8300,130743,Myerscough College,Further Education Sector Institution,0,0,,4,-9,393,35%,0%,19%,1%,SP,0%,17%,0,0%,NA,NA,80,26%,-10,3,313,38%,-9,4,30%,0%,19%,0%,SUPP,0%,11%
1,888,8601,130745,Cardinal Newman College,Further Education Sector Institution,0,0,,3,2,1562,73%,3%,70%,26%,18%,1%,1%,1204,77%,-1,3,0,0%,NA,NA,358,61%,14,2,72%,1%,69%,20%,15%,0%,1%
LA,888,,,,,,,,NA,1,6946,68%,3%,62%,22%,17%,1%,3%,4596,77%,0,NA,167,32%,-4,NA,2183,52%,5,NA,69%,3%,63%,24%,18%,1%,3%
1,810,4626,144104,"St Mary's College, Voluntary Catholic Academy",Academy - Converter Mainstream,0,0,,2,12,223,78%,SP,77%,15%,12%,0%,SP,179,83%,11,2,19,53%,10,3,25,60%,14,3,76%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,810,6905,135598,Archbishop Sentamu Academy,Academy - Sponsor Led Mainstream,0,0,,3,10,43,60%,0%,58%,7%,0%,0%,2%,30,73%,17,1,2,SUPP,SUPP,SUPP,11,27%,-11,3,46%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,810,6906,135945,Sirius Academy West,Academy - Sponsor Led Mainstream,0,0,,2,15,64,72%,0%,69%,6%,6%,2%,3%,33,76%,8,3,0,0%,NA,NA,31,68%,23,2,74%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,810,8001,130579,Hull College,Further Education Sector Institution,0,0,,4,-7,321,37%,SP,28%,2%,SP,0%,9%,15,20%,-30,5,36,22%,-17,4,270,40%,-4,3,32%,SUPP,24%,3%,SUPP,0%,SUPP
1,810,8600,130580,Wilberforce College,Further Education Sector Institution,0,0,,3,-3,397,51%,1%,48%,4%,3%,0%,2%,166,69%,4,3,0,0%,NA,NA,231,38%,-7,3,47%,0%,45%,3%,3%,0%,2%
1,810,8601,130581,Wyke Sixth Form College,Further Education Sector Institution,0,0,,3,1,824,71%,2%,67%,17%,16%,1%,2%,754,74%,3,3,0,0%,NA,NA,70,33%,-14,4,79%,0%,75%,13%,13%,0%,4%
LA,810,,,,,,,,NA,1,1872,62%,1%,58%,11%,9%,0%,3%,1177,74%,4,NA,57,33%,-7,NA,638,41%,-5,NA,63%,1%,58%,12%,10%,0%,3%
1,811,4001,143854,Driffield School and Sixth Form,Academy - Sponsor Led Mainstream,0,0,,3,4,63,75%,0%,73%,22%,21%,0%,2%,63,75%,4,3,0,0%,NA,NA,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4050,118072,Beverley High School,Community School,1,0,,3,11,48,85%,0%,83%,27%,25%,0%,2%,48,85%,11,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4051,118073,Longcroft School and Sixth Form College,Community School,0,0,,3,3,73,79%,0%,79%,16%,16%,0%,0%,73,79%,3,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4053,137306,Hessle High School and Penshurst Primary School,Academy - Converter Mainstream,0,0,,3,0,57,79%,0%,79%,25%,25%,4%,0%,57,79%,0,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4056,136667,South Hunsley School and Sixth Form College,Academy - Converter Mainstream,0,0,,3,2,188,76%,2%,74%,29%,23%,1%,0%,185,76%,2,3,2,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,73%,0%,73%,33%,27%,SUPP,0%
1,811,4058,136921,Cottingham High School and Sixth Form College,Academy - Converter Mainstream,0,0,,3,7,42,76%,0%,69%,12%,10%,0%,7%,41,78%,8,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,57%,0%,43%,0%,0%,0%,14%
1,811,4060,143588,Woldgate School and Sixth Form College,Academy - Converter Mainstream,0,0,,3,10,83,87%,1%,82%,39%,29%,0%,4%,83,87%,10,3,0,0%,NA,NA,0,0%,NA,NA,86%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,811,4061,118082,Hornsea School and Language College,Community School,0,0,,3,-10,66,59%,2%,50%,23%,23%,0%,8%,65,58%,-11,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,45%,SUPP,27%,18%,18%,0%,SUPP
1,811,4062,144561,Wolfreton School and Sixth Form College,Academy - Converter Mainstream,0,0,,3,-4,113,65%,3%,61%,20%,20%,1%,1%,109,66%,-3,3,4,SUPP,SUPP,SUPP,0,0%,NA,NA,67%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4064,118085,Headlands School,Community School,0,0,,3,13,39,72%,0%,69%,3%,3%,0%,3%,33,76%,14,3,4,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,70%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,4500,118111,Bridlington School,Voluntary Controlled School,0,0,,3,-7,30,60%,0%,60%,10%,10%,0%,0%,16,63%,-15,3,1,SUPP,SUPP,SUPP,13,54%,-1,3,56%,0%,56%,0%,0%,0%,0%
1,811,4625,136995,Beverley Grammar School,Academy - Converter Mainstream,1,0,,3,6,46,85%,0%,85%,28%,28%,2%,0%,46,85%,6,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
3,811,4900,NA,Beverley Joint Sixth,Sixth Form Centre/Consortia,NA,NA,,3,8,94,85%,0%,84%,28%,27%,1%,1%,94,85%,8,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,811,8300,130584,Bishop Burton College,Further Education Sector Institution,0,0,,3,-3,450,43%,SP,31%,2%,2%,0%,12%,1,SUPP,SUPP,SUPP,0,0%,NA,NA,449,43%,-3,3,41%,SUPP,30%,0%,0%,0%,SUPP
LA,811,,,,,,,,NA,0,1592,62%,1%,55%,14%,12%,0%,6%,943,74%,1,NA,58,43%,4,NA,591,44%,-2,NA,63%,1%,57%,15%,14%,0%,5%
1,812,4078,136268,Tollbar Academy,Academy - Converter Mainstream,0,0,,3,-6,110,74%,3%,68%,21%,19%,1%,3%,110,74%,-6,3,0,0%,NA,NA,0,0%,NA,NA,57%,0%,57%,0%,0%,SUPP,0%
1,812,6907,135294,Havelock Academy,Academy - Sponsor Led Mainstream,0,0,,3,-12,20,50%,0%,50%,0%,0%,0%,0%,20,50%,-12,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,812,8005,130585,Grimsby Institute of Further and Higher Education,Further Education Sector Institution,0,0,,3,-2,318,44%,1%,31%,1%,SP,0%,13%,42,48%,-3,3,19,58%,19,3,257,42%,-3,3,40%,SUPP,28%,SUPP,SUPP,0%,SUPP
1,812,8602,130586,Franklin College,Further Education Sector Institution,0,0,,4,-6,678,57%,1%,53%,5%,4%,0%,3%,619,58%,-7,4,3,SUPP,SUPP,SUPP,56,46%,2,3,53%,0%,49%,1%,1%,0%,4%
LA,812,,,,,,,,NA,-5,1126,55%,1%,48%,6%,5%,0%,6%,791,60%,-7,NA,22,54%,16,NA,313,43%,-2,NA,57%,2%,50%,7%,6%,SUPP,5%
1,813,4002,142130,Engineering UTC Northern Lincolnshire,Free School - UTC ,0,0,,5,-38,12,17%,0%,0%,0%,0%,0%,17%,10,10%,-47,5,2,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,813,4083,137742,South Axholme Academy,Academy - Converter Mainstream,0,0,,3,-2,18,72%,0%,72%,33%,33%,0%,0%,17,76%,1,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,813,4091,137453,The Vale Academy,Academy - Converter Mainstream,0,0,,3,0,32,69%,3%,63%,13%,9%,0%,3%,27,70%,-2,3,3,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,813,4501,118112,Sir John Nelthorpe School,Voluntary Controlled School,0,0,,3,-12,19,58%,5%,47%,16%,11%,0%,5%,19,58%,-12,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,813,8603,130588,John Leggott Sixth Form College,Further Education Sector Institution,0,0,,3,2,702,67%,2%,63%,14%,12%,SP,2%,561,72%,2,3,0,0%,NA,NA,141,45%,1,3,54%,0%,54%,11%,11%,SUPP,0%
LA,813,,,,,,,,NA,1,806,65%,2%,61%,13%,12%,0%,2%,655,70%,1,NA,6,50%,2,NA,145,45%,1,NA,67%,2%,62%,14%,12%,SUPP,3%
1,816,4063,121673,Huntington School,Community School,0,0,,3,-2,131,76%,0%,76%,36%,31%,3%,0%,131,76%,-2,3,0,0%,NA,NA,0,0%,NA,NA,80%,0%,80%,13%,13%,0%,0%
1,816,4153,144711,Fulford School,Academy - Converter Mainstream,0,0,,3,-1,121,80%,0%,79%,50%,43%,4%,1%,121,80%,-1,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,816,4500,136617,"Archbishop Holgate's School, A Church of England Academy",Academy - Converter Mainstream,0,0,,3,5,109,78%,2%,76%,39%,31%,0%,0%,103,80%,5,3,6,50%,0,3,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,816,4508,121711,Joseph Rowntree School,Voluntary Controlled School,0,0,,3,-6,94,67%,0%,65%,28%,27%,0%,2%,94,67%,-6,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,816,4702,121720,All Saints RC School,Voluntary Aided School,0,0,,3,-2,220,75%,0%,74%,46%,42%,1%,2%,220,75%,-2,3,0,0%,NA,NA,0,0%,NA,NA,58%,0%,50%,17%,17%,0%,8%
1,816,8002,130594,York College,Further Education Sector Institution,0,0,,3,-2,802,59%,2%,54%,16%,13%,1%,2%,387,72%,-4,3,29,48%,5,3,386,46%,0,3,48%,1%,44%,14%,10%,1%,2%
1,816,8300,130595,Askham Bryan College,Further Education Sector Institution,0,0,,4,-17,609,27%,SP,17%,1%,SP,0%,11%,7,43%,-19,3,52,12%,-20,4,550,29%,-17,4,30%,SUPP,13%,1%,0%,0%,SUPP
LA,816,,,,,,,,NA,-6,2086,55%,1%,50%,20%,17%,1%,4%,1063,74%,-2,NA,87,26%,-10,NA,936,36%,-10,NA,56%,1%,52%,21%,18%,1%,4%
1,370,4027,106653,Penistone Grammar School,Community School,0,0,,3,1,100,85%,2%,83%,53%,49%,1%,0%,100,85%,1,3,0,0%,NA,NA,0,0%,NA,NA,71%,0%,71%,29%,29%,SUPP,0%
1,370,8001,130524,Barnsley College,Further Education Sector Institution,0,0,,3,0,993,55%,2%,47%,6%,6%,SP,6%,391,69%,-1,3,10,30%,-5,3,592,47%,0,3,49%,0%,44%,3%,2%,SUPP,6%
LA,370,,,,,,,,NA,0,1093,58%,2%,50%,10%,10%,0%,6%,491,72%,0,NA,10,30%,-5,NA,592,47%,0,NA,60%,2%,52%,12%,11%,0%,6%
1,371,4007,143938,Outwood Academy Danum,Academy - Sponsor Led Mainstream,0,0,,2,14,99,77%,1%,71%,19%,17%,0%,5%,87,77%,11,2,12,75%,31,2,0,0%,NA,NA,78%,SUPP,74%,17%,17%,0%,SUPP
1,371,4008,144364,Sir Thomas Wharton Academy,Academy - Converter Mainstream,0,0,,3,10,30,87%,7%,73%,30%,27%,0%,7%,30,87%,10,3,0,0%,NA,NA,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,371,4009,144714,New College Doncaster,Free School  16-19,0,0,,3,-11,7,29%,0%,29%,14%,14%,0%,0%,0,0%,NA,NA,0,0%,NA,NA,7,29%,-11,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,371,4029,137472,Don Valley Academy,Academy - Converter Mainstream,1,0,,3,-13,50,50%,0%,50%,2%,2%,0%,0%,40,55%,-13,3,7,43%,-2,3,3,SUPP,SUPP,SUPP,27%,0%,27%,SUPP,SUPP,0%,0%
1,371,4033,137603,Ridgewood School,Academy - Converter Mainstream,0,0,,3,-2,111,76%,5%,68%,21%,20%,0%,3%,110,76%,-2,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,50%,0%,50%,17%,17%,0%,0%
1,371,4036,138116,Campsmount Academy,Academy - Converter Mainstream,0,0,,3,5,24,71%,4%,67%,8%,8%,0%,0%,23,74%,7,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,75%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,371,4062,137842,Hall Cross Academy,Academy - Converter Mainstream,0,0,,3,3,247,77%,1%,75%,21%,19%,SP,1%,238,76%,1,3,9,100%,50,1,0,0%,NA,NA,74%,0%,74%,16%,16%,SUPP,0%
1,371,4606,140865,The McAuley Catholic High School,Academy - Converter Mainstream,0,0,,3,3,125,78%,0%,77%,26%,24%,1%,1%,124,78%,3,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,82%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,371,6905,135007,Trinity Academy,Academy - Sponsor Led Mainstream,0,0,,3,-6,84,60%,1%,58%,11%,10%,1%,0%,83,60%,-5,3,0,0%,NA,NA,1,SUPP,SUPP,SUPP,57%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,371,6907,135963,Outwood Academy Adwick,Academy - Sponsor Led Mainstream,0,0,,5,-20,48,50%,0%,50%,4%,4%,0%,0%,47,51%,-19,4,0,0%,NA,NA,1,SUPP,SUPP,SUPP,60%,0%,60%,SUPP,SUPP,0%,0%
LA,371,,,,,,,,NA,-1,1012,69%,1%,66%,16%,15%,0%,2%,912,71%,-1,NA,48,60%,14,NA,52,33%,-13,NA,69%,2%,66%,17%,16%,0%,2%
1,372,4004,143141,Swinton Academy,Academy - Sponsor Led Mainstream,0,0,,3,-2,23,70%,4%,61%,9%,9%,0%,4%,22,68%,-5,3,1,SUPP,SUPP,SUPP,0,0%,NA,NA,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,372,4018,140646,Wickersley School and Sports College,Academy - Converter Mainstream,0,0,,3,2,240,72%,1%,69%,21%,21%,1%,2%,228,73%,2,3,10,60%,18,3,2,SUPP,SUPP,SUPP,60%,0%,60%,3%,3%,0%,0%
1,372,4021,136718,Aston Academy,Academy - Converter Mainstream,0,0,,3,3,100,74%,0%,73%,15%,13%,2%,1%,93,75%,2,3,6,67%,25,3,1,SUPP,SUPP,SUPP,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,372,4022,141730,Dinnington High School,Academy - Converter Mainstream,0,0,,3,5,78,73%,5%,68%,8%,8%,0%,0%,71,73%,3,3,6,83%,33,3,1,SUPP,SUPP,SUPP,86%,14%,71%,14%,14%,0%,0%
1,372,4024,136301,Brinsworth Academy,Academy - Converter Mainstream,0,0,,1,17,95,87%,0%,79%,15%,14%,0%,8%,89,88%,16,1,6,83%,41,1,0,0%,NA,NA,94%,0%,76%,18%,18%,0%,18%
1,372,4025,136331,Wales High School,Academy - Converter Mainstream,0,0,,4,-14,143,55%,4%,49%,13%,13%,1%,2%,127,60%,-13,4,12,25%,-12,3,4,SUPP,SUPP,SUPP,36%,0%,29%,7%,7%,SUPP,7%
1,372,6905,136042,Maltby Academy,Academy - Sponsor Led Mainstream,0,0,,5,-23,82,48%,1%,44%,9%,9%,0%,2%,81,48%,-22,5,0,0%,NA,NA,1,SUPP,SUPP,SUPP,40%,SUPP,30%,0%,0%,0%,SUPP
1,372,8000,130527,RNN Group,Further Education Sector Institution,0,0,,4,-5,516,40%,SP,29%,1%,1%,0%,10%,6,50%,-6,3,77,21%,-18,4,433,43%,-3,3,35%,0%,25%,1%,0%,0%,10%
1,372,8600,145230,Thomas Rotherham College,Academy 16-19 Converter,0,0,,3,-1,586,66%,1%,63%,11%,11%,SP,1%,525,68%,-2,3,9,33%,-15,3,52,52%,7,3,68%,0%,65%,12%,11%,SUPP,3%
LA,372,,,,,,,,NA,-3,2016,60%,1%,55%,11%,10%,0%,4%,1391,69%,-2,NA,127,34%,-6,NA,498,43%,-3,NA,62%,2%,57%,12%,11%,0%,3%
1,373,4004,139695,Utc Sheffield City Centre,Free School - UTC ,0,0,,3,-6,108,47%,7%,40%,6%,6%,0%,0%,45,47%,-19,4,62,48%,4,3,1,SUPP,SUPP,SUPP,79%,14%,64%,7%,7%,0%,0%
1,373,4007,140547,Forge Valley School,Academy - Sponsor Led Mainstream,0,0,,3,6,65,75%,0%,75%,9%,9%,0%,0%,65,75%,6,3,0,0%,NA,NA,0,0%,NA,NA,100%,0%,100%,14%,14%,0%,0%
1,373,4009,140940,Chapeltown Academy,Free School  16-19,0,0,,3,5,78,86%,1%,85%,36%,35%,4%,0%,78,86%,5,3,0,0%,NA,NA,0,0%,NA,NA,100%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,373,4010,142605,UTC Sheffield Olympic Legacy Park,Free School - UTC ,0,0,,3,11,52,65%,0%,63%,0%,0%,0%,2%,24,75%,11,3,28,57%,12,3,0,0%,NA,NA,63%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,373,4229,139167,Silverdale School,Academy - Converter Mainstream,0,0,,2,9,163,90%,2%,87%,51%,48%,1%,1%,163,90%,9,2,0,0%,NA,NA,0,0%,NA,NA,91%,SUPP,82%,45%,45%,SUPP,SUPP
1,373,4230,138841,King Ecgbert School,Academy - Converter Mainstream,0,0,,2,10,122,85%,2%,83%,38%,36%,1%,0%,112,86%,8,3,0,0%,NA,NA,10,80%,29,3,93%,0%,93%,29%,29%,SUPP,0%
1,373,4234,138069,Tapton School,Academy - Converter Mainstream,0,0,,3,6,180,89%,0%,89%,53%,51%,8%,1%,180,89%,6,3,0,0%,NA,NA,0,0%,NA,NA,89%,0%,SUPP,SUPP,SUPP,SUPP,SUPP
1,373,4257,145455,High Storrs School,Academy - Converter Mainstream,0,0,,3,-4,161,71%,0%,69%,36%,33%,2%,2%,161,71%,-4,3,0,0%,NA,NA,0,0%,NA,NA,83%,0%,75%,33%,33%,0%,8%
1,373,4259,107140,King Edward VII School,Community School,0,0,,3,0,208,81%,1%,78%,39%,38%,1%,1%,208,81%,0,3,0,0%,NA,NA,0,0%,NA,NA,70%,0%,70%,22%,22%,0%,0%
1,373,4279,138545,Meadowhead School Academy Trust,Academy - Converter Mainstream,0,0,,3,3,126,75%,3%,69%,17%,14%,0%,2%,126,75%,3,3,0,0%,NA,NA,0,0%,NA,NA,83%,6%,78%,22%,17%,0%,0%
1,373,5400,138361,Notre Dame High School,Academy - Converter Mainstream,0,0,,3,7,194,85%,1%,82%,29%,26%,1%,2%,194,85%,7,2,0,0%,NA,NA,0,0%,NA,NA,91%,SUPP,SUPP,SUPP,SUPP,SUPP,0%
1,373,5401,138337,All Saints' Catholic High School,Academy - Converter Mainstream,0,0,,2,9,132,83%,2%,78%,22%,22%,0%,3%,132,83%,9,2,0,0%,NA,NA,0,0%,NA,NA,94%,0%,88%,25%,25%,0%,6%
1,373,6905,131895,Sheffield Park Academy,Academy - Sponsor Led Mainstream,0,0,,3,2,60,68%,0%,68%,10%,10%,0%,0%,54,70%,2,3,5,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,77%,0%,77%,13%,13%,0%,0%
1,373,8022,130531,The Sheffield College,Further Education Sector Institution,0,0,,3,2,987,52%,2%,39%,2%,2%,0%,11%,243,54%,-8,4,28,36%,-8,3,716,52%,6,2,50%,SP,36%,3%,3%,0%,13%
1,373,8023,144886,Longley Park Sixth Form College,Academy 16-19 Converter,0,0,,1,20,284,75%,1%,71%,9%,9%,0%,2%,151,79%,15,2,9,33%,-3,3,124,72%,27,1,70%,0%,68%,5%,5%,0%,2%
LA,373,,,,,,,,NA,5,2976,70%,2%,63%,20%,18%,1%,5%,1992,77%,4,NA,132,47%,2,NA,852,55%,9,NA,70%,2%,64%,21%,20%,1%,4%
